id,district,treatment,pre_tax,post_tax
49,Snake Lounge,0,367.2830696,384.3167448
50,Snake Lounge,0,610.3471825,642.7100198
51,Snake Lounge,0,560.2887898,593.9360917
52,Snake Lounge,0,394.4241589,397.8134855
53,Snake Lounge,0,748.359128,769.6603559
54,Snake Lounge,0,608.4348959,628.4939473
55,Snake Lounge,0,445.464097,460.9679789
56,Snake Lounge,0,553.4826121,571.0409747
57,Snake Lounge,0,613.8933224,638.8722879
58,Snake Lounge,0,525.474933,549.0362918
59,Snake Lounge,0,263.0364875,267.5673184
60,Snake Lounge,0,554.732443,581.4036201
61,Snake Lounge,0,376.9148036,407.0529696
62,Snake Lounge,0,539.7845847,559.8293724
63,Snake Lounge,0,599.2735591,587.7357017
64,Snake Lounge,0,721.9605241,751.2673878
65,Snake Lounge,0,402.9061911,403.1377586
66,Snake Lounge,0,707.3813948,738.2286752
67,Snake Lounge,0,482.377218,496.4550241
68,Snake Lounge,0,667.7759148,674.5396892
69,Snake Lounge,0,650.1092852,648.628644
70,Snake Lounge,0,620.1317244,644.574819
71,Snake Lounge,0,355.5321592,366.9627956
72,Snake Lounge,0,498.472042,511.8518894
73,Snake Lounge,0,675.5277243,691.7755062
74,Snake Lounge,0,368.9714963,381.0867833
75,Snake Lounge,0,430.5756778,433.7566158
76,Snake Lounge,0,599.1494747,590.2201961
77,Snake Lounge,0,627.2268107,650.7396216
78,Snake Lounge,0,581.5651383,605.9831873
79,Snake Lounge,0,299.1335554,311.2751209
80,Snake Lounge,0,347.0328652,355.6588723
81,Snake Lounge,0,738.9060515,764.0622952
82,Snake Lounge,0,550.6882156,558.0655517
83,Snake Lounge,0,525.2660344,546.0142723
84,Snake Lounge,0,493.8655194,495.2751202
85,Snake Lounge,0,252.8506657,276.8703443
86,Snake Lounge,0,603.7995347,621.7773871
87,Snake Lounge,0,479.4290231,494.4012468
88,Snake Lounge,0,484.5864941,497.269884
89,Snake Lounge,0,652.0019493,678.7575373
90,Snake Lounge,0,635.2659666,662.0420341
91,Snake Lounge,0,640.8174564,668.8164813
92,Snake Lounge,0,440.5739115,479.4777399
93,Snake Lounge,0,609.5522841,618.0507386
94,Snake Lounge,0,720.6665685,726.1325113
95,Snake Lounge,0,345.3816681,381.1112702
96,Snake Lounge,0,382.881112,399.7417857
97,Snake Lounge,0,262.2391979,289.9885183
98,Snake Lounge,0,293.1179001,310.4487366
99,Snake Lounge,0,523.997383,525.4383242
100,Snake Lounge,0,609.9806509,635.8502569
101,Snake Lounge,0,1092.144806,1113.123013
102,Snake Lounge,0,668.7126631,671.7736473
103,Snake Lounge,0,281.518703,291.9940232
104,Snake Lounge,0,789.2722853,801.0157953
105,Snake Lounge,0,411.9839887,427.2699471
106,Snake Lounge,0,527.8270719,537.3267388
107,Snake Lounge,0,448.6616177,458.2492811
108,Snake Lounge,0,493.6474742,510.7841198
109,Snake Lounge,0,610.2289552,626.1250708
110,Snake Lounge,0,529.8741437,522.6083551
111,Snake Lounge,0,508.2361174,514.8767848
112,Snake Lounge,0,528.2109092,539.8007408
113,Snake Lounge,0,439.1847146,459.2634527
114,Snake Lounge,0,436.3674304,456.6800161
115,Snake Lounge,0,182.835138,193.7450211
116,Snake Lounge,0,454.649941,461.5486519
117,Snake Lounge,0,635.1024613,645.781877
118,Snake Lounge,0,917.2836501,931.2616642
119,Snake Lounge,0,307.6825653,320.1389593
120,Snake Lounge,0,532.5884328,546.0481477
121,Snake Lounge,0,207.9562399,221.4121162
122,Snake Lounge,0,291.4346388,283.4142391
123,Snake Lounge,0,530.7053579,560.3649391
124,Snake Lounge,0,362.5041298,364.6171997
125,Snake Lounge,0,511.7266079,514.6212864
126,Snake Lounge,0,447.7611678,460.0775349
127,Snake Lounge,0,339.949259,361.7831839
128,Snake Lounge,0,208.2983232,220.1016319
129,Snake Lounge,0,328.2878074,349.7395577
130,Snake Lounge,0,538.9274662,549.8104673
131,Snake Lounge,0,597.1430892,610.2249944
132,Snake Lounge,0,438.068397,444.4394742
133,Snake Lounge,0,432.0094326,442.0428999
134,Snake Lounge,0,680.4334465,677.1556993
135,Snake Lounge,0,727.9783614,739.8132332
136,Snake Lounge,0,347.4329347,343.2273095
137,Snake Lounge,0,494.402066,511.0286538
138,Snake Lounge,0,692.2247601,735.2833646
139,Snake Lounge,0,361.5405629,357.5214617
140,Snake Lounge,0,504.1295773,505.3969889
141,Snake Lounge,0,499.0839053,511.1470282
142,Snake Lounge,0,378.8481473,384.9369274
143,Snake Lounge,0,445.2973993,462.6584505
144,Snake Lounge,0,507.5832681,540.0796624
145,Snake Lounge,0,519.9196726,547.9310203
146,Snake Lounge,0,679.0079035,687.1957525
147,Snake Lounge,0,439.8510738,466.796618
148,Snake Lounge,0,447.0246451,470.5337128
149,Snake Lounge,0,616.5293865,637.0850398
150,Snake Lounge,0,353.544738,359.7104379
151,Snake Lounge,0,425.8952287,449.1386865
152,Snake Lounge,0,279.2682766,301.1474138
153,Snake Lounge,0,687.0754324,715.4331146
154,Snake Lounge,0,470.9531448,477.864686
155,Snake Lounge,0,441.8232013,455.828526
156,Snake Lounge,0,326.2621508,333.2854031
157,Snake Lounge,0,430.8356949,428.6590139
158,Snake Lounge,0,391.9576733,403.8367304
159,Snake Lounge,0,431.9761505,451.7850005
160,Snake Lounge,0,705.1512868,724.1332827
161,Snake Lounge,0,485.6711195,485.3425281
162,Snake Lounge,0,351.2326424,379.1449402
163,Snake Lounge,0,456.4810324,480.6970948
164,Snake Lounge,0,457.5892377,465.3483835
165,Snake Lounge,0,600.5020322,621.2413697
166,Snake Lounge,0,726.8632892,724.2642026
167,Snake Lounge,0,363.0961233,368.959504
168,Snake Lounge,0,580.1975446,603.6303261
169,Snake Lounge,0,444.7347088,455.4552531
170,Snake Lounge,0,646.3348373,653.4755263
171,Snake Lounge,0,477.5332792,494.3459599
172,Snake Lounge,0,637.4928603,642.6694737
173,Snake Lounge,0,250.2416208,248.2473652
174,Snake Lounge,0,765.4188382,782.0339935
175,Snake Lounge,0,761.7166968,774.6662371
176,Snake Lounge,0,489.3836017,502.4065144
177,Snake Lounge,0,294.6489305,317.2642384
178,Snake Lounge,0,608.451305,619.8348006
179,Snake Lounge,0,584.4790796,596.6383083
180,Snake Lounge,0,511.046656,511.6712016
181,Snake Lounge,0,604.7183839,600.9542371
182,Snake Lounge,0,424.3836544,434.7222276
183,Snake Lounge,0,567.3210099,569.0534317
184,Snake Lounge,0,556.198151,571.9645904
185,Snake Lounge,0,470.111094,481.6604811
186,Snake Lounge,0,311.5645018,338.6137971
187,Snake Lounge,0,537.1123228,547.1224869
188,Snake Lounge,0,595.1294933,606.2277864
189,Snake Lounge,0,386.5540111,395.6986454
190,Snake Lounge,0,272.8117757,285.1263546
191,Snake Lounge,0,542.7437871,554.6942196
192,Snake Lounge,0,460.2368033,481.9097777
193,Snake Lounge,0,469.8917555,471.5060824
194,Snake Lounge,0,317.8996302,335.5082649
195,Snake Lounge,0,368.1244333,380.825348
196,Snake Lounge,0,674.8662281,708.6157183
197,Snake Lounge,0,572.5662357,571.6940537
198,Snake Lounge,0,599.9731305,602.1973475
199,Snake Lounge,0,704.2842669,717.6368199
200,Snake Lounge,0,531.3232143,554.5482412
201,Snake Lounge,0,611.8606143,631.7390339
202,Snake Lounge,0,562.0665796,570.6238072
203,Snake Lounge,0,687.6987691,702.950933
204,Snake Lounge,0,820.9308863,816.1280422
205,Snake Lounge,0,225.4707603,243.5060325
206,Snake Lounge,0,339.3716652,367.103296
207,Snake Lounge,0,406.1267908,421.3675187
208,Snake Lounge,0,353.8916327,364.611219
209,Snake Lounge,0,415.1384415,418.1288647
210,Snake Lounge,0,484.1933048,492.8639524
211,Snake Lounge,0,251.8166924,280.3688578
212,Snake Lounge,0,817.545825,829.1069287
213,Snake Lounge,0,528.1662117,536.9073117
214,Snake Lounge,0,499.3837849,528.0582165
215,Snake Lounge,0,586.3429462,583.3460135
216,Snake Lounge,0,517.6122779,529.4674171
217,Snake Lounge,0,562.1867945,577.9257759
218,Snake Lounge,0,733.5181135,741.5250509
219,Snake Lounge,0,479.4454685,487.4528746
220,Snake Lounge,0,319.4596694,337.5890668
221,Snake Lounge,0,569.8501836,591.0018853
222,Snake Lounge,0,459.273069,475.8712311
223,Snake Lounge,0,353.730586,368.2761078
224,Snake Lounge,0,351.7803199,358.2967908
225,Snake Lounge,0,576.2548855,597.3002822
226,Snake Lounge,0,485.8972648,491.5573182
227,Snake Lounge,0,589.3501593,603.1215304
228,Snake Lounge,0,476.8452084,496.8369169
229,Snake Lounge,0,333.2244861,337.7582801
230,Snake Lounge,0,699.5354906,716.9771469
231,Snake Lounge,0,471.2354427,483.8369637
232,Snake Lounge,0,654.1927994,678.1178763
233,Snake Lounge,0,531.7626355,561.9855497
234,Snake Lounge,0,442.0825855,443.6028075
235,Snake Lounge,0,391.5972907,413.8014814
236,Snake Lounge,0,453.3551888,468.7030427
237,Snake Lounge,0,714.3060518,729.9429382
238,Snake Lounge,0,508.5852948,534.5685163
239,Snake Lounge,0,548.6338777,568.9034529
240,Snake Lounge,0,370.6442438,385.06996
241,Snake Lounge,0,322.6174085,334.6782702
242,Snake Lounge,0,661.7103363,673.6214712
243,Snake Lounge,0,700.7722497,714.9289741
244,Snake Lounge,0,699.3295533,706.7122237
245,Snake Lounge,0,304.9044426,331.962364
246,Snake Lounge,0,819.494104,839.8678628
247,Snake Lounge,0,584.5309245,606.222649
248,Snake Lounge,0,507.9923804,524.7125555
249,Snake Lounge,0,617.5411668,634.6181214
250,Snake Lounge,0,366.2922156,382.5832862
251,Snake Lounge,0,347.5765638,374.7794768
252,Snake Lounge,0,519.3575676,530.4731534
253,Snake Lounge,0,402.2256215,406.3699766
254,Snake Lounge,0,540.5028498,561.6275868
255,Snake Lounge,0,706.6558849,729.8123384
256,Snake Lounge,0,356.9189416,358.6228265
257,Snake Lounge,0,401.2338869,424.8279648
258,Snake Lounge,0,518.9845909,529.8609848
259,Snake Lounge,0,279.360582,292.4746039
260,Snake Lounge,0,454.507406,475.5624247
261,Snake Lounge,0,642.9133118,657.584482
262,Snake Lounge,0,657.4317521,687.8040962
263,Snake Lounge,0,569.5769998,594.9170884
264,Snake Lounge,0,234.2666505,234.8447622
265,Snake Lounge,0,423.9004895,441.7028188
266,Snake Lounge,0,671.7159822,688.6995522
267,Snake Lounge,0,633.9792556,643.1383066
268,Snake Lounge,0,483.3775289,519.1191574
269,Snake Lounge,0,107.0105287,97.405941
270,Snake Lounge,0,521.1449958,527.1430443
271,Snake Lounge,0,518.0627546,541.7108889
272,Snake Lounge,0,518.870537,522.221478
273,Snake Lounge,0,535.611881,537.7448819
274,Snake Lounge,0,576.7348059,582.3141616
275,Snake Lounge,0,452.5175396,463.4046647
276,Snake Lounge,0,708.4967339,715.9836914
277,Snake Lounge,0,502.55901,521.5093359
278,Snake Lounge,0,325.5994594,324.0746576
279,Snake Lounge,0,719.2363185,754.3823825
280,Snake Lounge,0,692.6688406,711.6240769
281,Snake Lounge,0,635.6110946,651.0375632
282,Snake Lounge,0,262.6055897,265.1032751
283,Snake Lounge,0,346.6040485,368.9758557
284,Snake Lounge,0,607.3270726,622.6580126
285,Snake Lounge,0,518.5583011,529.3249026
286,Snake Lounge,0,564.2018455,577.9638058
287,Snake Lounge,0,880.9390323,889.5577777
288,Snake Lounge,0,389.2429513,391.2274431
289,Snake Lounge,0,265.0199828,284.0569129
290,Snake Lounge,0,553.0542909,585.360199
291,Snake Lounge,0,608.8604738,628.7336637
292,Snake Lounge,0,578.9061579,586.570752
293,Snake Lounge,0,390.1422914,383.985952
294,Snake Lounge,0,843.8083221,867.8326841
295,Snake Lounge,0,413.4441043,416.1576501
296,Snake Lounge,0,440.3996741,457.9130515
297,Snake Lounge,0,487.0607763,506.2716172
298,Snake Lounge,0,641.3845075,660.32212
299,Snake Lounge,0,526.6010728,547.3417788
300,Snake Lounge,0,268.1574891,290.0427809
301,Snake Lounge,0,1131.306885,1135.146964
302,Snake Lounge,0,626.0363251,627.916373
303,Snake Lounge,0,517.8486369,513.4058877
304,Snake Lounge,0,622.2608212,635.6360536
305,Snake Lounge,0,490.029106,515.3013247
306,Snake Lounge,0,503.3168997,528.7725359
307,Snake Lounge,0,504.3554199,512.0709087
308,Snake Lounge,0,660.9415455,673.0105916
309,Snake Lounge,0,325.0406753,323.6207747
310,Snake Lounge,0,506.9768713,504.6030596
311,Snake Lounge,0,501.3556728,506.2328875
312,Snake Lounge,0,398.1619019,419.8864376
313,Snake Lounge,0,276.8460959,287.9269538
314,Snake Lounge,0,417.3902069,444.4394078
315,Snake Lounge,0,600.021158,618.5639079
316,Snake Lounge,0,449.5516016,485.4983706
317,Snake Lounge,0,394.2668286,397.2024449
318,Snake Lounge,0,536.5124479,535.9100882
319,Snake Lounge,0,246.4928647,268.2268922
320,Snake Lounge,0,668.8810664,679.6135902
321,Snake Lounge,0,439.3106876,442.6139132
322,Snake Lounge,0,540.3693218,539.6982625
323,Snake Lounge,0,519.6509497,526.4840583
324,Snake Lounge,0,511.9638997,526.3783635
325,Snake Lounge,0,853.4073064,876.8872788
326,Snake Lounge,0,388.2008064,408.4142176
327,Snake Lounge,0,683.8205678,698.0107662
328,Snake Lounge,0,516.7359781,532.4130203
329,Snake Lounge,0,386.7191292,397.8445851
330,Snake Lounge,0,501.6854526,516.5131654
331,Snake Lounge,0,544.0157531,567.8819241
332,Snake Lounge,0,448.1721898,454.0045068
333,Snake Lounge,0,396.1876647,398.6802138
334,Snake Lounge,0,534.914616,541.909784
335,Snake Lounge,0,660.2895268,672.6780014
336,Snake Lounge,0,500.9812498,515.0963907
337,Snake Lounge,0,223.946017,244.0512299
338,Snake Lounge,0,315.9986143,319.8869776
339,Snake Lounge,0,396.7407012,408.9248835
340,Snake Lounge,0,432.9337812,439.733262
341,Snake Lounge,0,508.7859402,513.3326259
342,Snake Lounge,0,612.5747106,647.0374097
343,Snake Lounge,0,366.8074442,375.9086171
344,Snake Lounge,0,344.9180325,366.6542914
345,Snake Lounge,0,603.0658992,602.323818
346,Snake Lounge,0,553.3185453,576.9292268
347,Snake Lounge,0,685.6020604,683.0858523
348,Snake Lounge,0,259.6278711,294.8206446
349,Snake Lounge,0,645.0978633,656.6874727
350,Snake Lounge,0,715.0042841,730.5696516
351,Snake Lounge,0,620.6260701,648.3150904
352,Snake Lounge,0,387.1170761,412.6838846
353,Snake Lounge,0,621.879273,626.4497287
354,Snake Lounge,0,381.2109695,388.5490534
355,Snake Lounge,0,363.9903733,387.4907356
356,Snake Lounge,0,690.1301418,698.7706715
357,Snake Lounge,0,468.4782032,478.2034572
358,Snake Lounge,0,636.2819217,647.5252095
359,Snake Lounge,0,468.3158437,458.2044059
360,Snake Lounge,0,275.5456393,298.6631543
361,Snake Lounge,0,454.6776455,472.4226581
362,Snake Lounge,0,348.7220207,365.8348496
363,Snake Lounge,0,439.3564143,466.1960299
364,Snake Lounge,0,461.5533186,460.5868326
365,Snake Lounge,0,488.9963164,516.0409805
366,Snake Lounge,0,475.5129157,496.4455779
367,Snake Lounge,0,715.8303062,750.7414684
368,Snake Lounge,0,304.1002494,325.0910198
369,Snake Lounge,0,449.7763549,454.2303839
370,Snake Lounge,0,564.3622292,561.1361654
371,Snake Lounge,0,756.2663399,763.9661708
372,Snake Lounge,0,525.2782844,540.1381295
373,Snake Lounge,0,617.8726063,621.7755099
374,Snake Lounge,0,265.3166696,267.9806317
375,Snake Lounge,0,728.9534788,753.2718946
376,Snake Lounge,0,408.4159743,426.2081047
377,Snake Lounge,0,470.5353372,486.1590701
378,Snake Lounge,0,345.587186,355.0627163
379,Snake Lounge,0,452.0803975,473.1569508
380,Snake Lounge,0,779.8008578,820.9586254
381,Snake Lounge,0,875.3245033,859.5136217
382,Snake Lounge,0,350.4756647,361.8617867
383,Snake Lounge,0,584.8911666,606.5492332
384,Snake Lounge,0,720.2782608,734.7654232
385,Snake Lounge,0,402.6514774,421.3792032
386,Snake Lounge,0,479.2737803,481.0454593
387,Snake Lounge,0,466.2833068,478.3338221
388,Snake Lounge,0,601.6749086,600.9076716
389,Snake Lounge,0,721.6144116,734.9471949
390,Snake Lounge,0,615.1429642,627.9643501
391,Snake Lounge,0,480.0282021,497.0406279
392,Snake Lounge,0,466.7195111,491.3527904
393,Snake Lounge,0,586.7523028,593.4619428
394,Snake Lounge,0,429.5694623,460.0036688
395,Snake Lounge,0,470.1115245,503.043932
396,Snake Lounge,0,676.4770165,681.6300413
397,Snake Lounge,0,648.3019632,654.5554999
398,Snake Lounge,0,548.1524441,559.7484899
399,Snake Lounge,0,473.6588517,484.9008209
400,Snake Lounge,0,651.6549352,680.4675925
401,Snake Lounge,0,1112.236888,1143.59753
402,Snake Lounge,0,381.6092354,405.277317
403,Snake Lounge,0,440.3230432,442.6654342
404,Snake Lounge,0,519.360037,533.220484
405,Snake Lounge,0,425.2466407,435.2031677
406,Snake Lounge,0,362.1892016,401.7353071
407,Snake Lounge,0,711.635083,727.8534077
408,Snake Lounge,0,610.3267824,637.4595731
409,Snake Lounge,0,653.5263418,658.7367942
410,Snake Lounge,0,225.6270818,255.987981
411,Snake Lounge,0,406.634079,431.7541813
412,Snake Lounge,0,465.2854673,481.4279457
413,Snake Lounge,0,262.5264454,282.0670654
414,Snake Lounge,0,399.4199837,403.9886651
415,Snake Lounge,0,315.3972361,324.5882031
416,Snake Lounge,0,403.614545,417.2137098
417,Snake Lounge,0,183.6748101,207.51754
418,Snake Lounge,0,544.0127825,565.8377953
419,Snake Lounge,0,417.2115596,435.4205617
420,Snake Lounge,0,740.0736791,743.361612
421,Snake Lounge,0,551.3933924,560.9122419
422,Snake Lounge,0,293.9705652,298.358096
423,Snake Lounge,0,526.7593132,537.7596137
424,Snake Lounge,0,422.9343524,424.5208487
425,Snake Lounge,0,645.2421753,648.9881517
426,Snake Lounge,0,519.9605623,532.1175671
427,Snake Lounge,0,348.4464561,340.6209817
428,Snake Lounge,0,577.7595554,589.8403637
429,Snake Lounge,0,534.8912238,544.5470444
430,Snake Lounge,0,487.3073627,501.4478516
431,Snake Lounge,0,814.9835932,808.7036922
432,Snake Lounge,0,432.5921171,451.8007546
433,Snake Lounge,0,511.3819541,540.1868926
434,Snake Lounge,0,280.1094614,278.0256775
435,Snake Lounge,0,505.9209915,506.3487734
436,Snake Lounge,0,645.5534458,676.5876389
437,Snake Lounge,0,201.2918224,218.1410047
438,Snake Lounge,0,474.490232,485.3130536
439,Snake Lounge,0,254.752436,281.6240003
440,Snake Lounge,0,728.2905898,729.5117145
441,Snake Lounge,0,715.6843308,742.383374
442,Snake Lounge,0,562.1754271,562.5099817
443,Snake Lounge,0,726.4007121,758.7668395
444,Snake Lounge,0,381.9023224,392.5449205
445,Snake Lounge,0,574.5977587,593.6778271
446,Snake Lounge,0,424.2482737,458.2690704
447,Snake Lounge,0,560.1436284,572.416388
448,Snake Lounge,0,467.0905975,483.091773
449,Snake Lounge,0,470.2185375,462.2733374
450,Snake Lounge,0,593.9172737,606.6140142
451,Snake Lounge,0,236.426827,258.1837447
452,Snake Lounge,0,474.3628302,495.3631436
453,Snake Lounge,0,537.6511061,545.9707087
454,Snake Lounge,0,451.4798782,455.1702907
455,Snake Lounge,0,527.6989161,542.3239741
456,Snake Lounge,0,464.167882,499.1438488
457,Snake Lounge,0,674.7515904,693.9231924
458,Snake Lounge,0,619.1282902,626.1859814
459,Snake Lounge,0,956.8798055,985.3368018
460,Snake Lounge,0,392.7383593,417.6288682
461,Snake Lounge,0,634.1548872,647.5290626
462,Snake Lounge,0,826.7046215,835.7831276
463,Snake Lounge,0,477.1470083,483.7626963
464,Snake Lounge,0,349.5387287,370.2846733
465,Snake Lounge,0,561.0516247,587.9126448
466,Snake Lounge,0,506.6878153,518.8398527
467,Snake Lounge,0,708.3686541,704.3218322
468,Snake Lounge,0,624.560073,643.2282799
469,Snake Lounge,0,261.2447509,279.5154392
470,Snake Lounge,0,406.9468837,403.781822
471,Snake Lounge,0,510.6415287,545.5384598
472,Snake Lounge,0,293.2799769,297.9054916
473,Snake Lounge,0,616.179447,613.137258
474,Snake Lounge,0,142.7996787,140.690948
475,Snake Lounge,0,453.4934646,459.2906945
476,Snake Lounge,0,453.3166821,458.0531274
477,Snake Lounge,0,438.3253872,460.8922538
478,Snake Lounge,0,469.4528821,489.2499149
479,Snake Lounge,0,559.2192207,567.0578113
480,Snake Lounge,0,571.4489867,577.9088018
481,Snake Lounge,0,398.1594433,395.2309329
482,Snake Lounge,0,223.2574354,240.0890222
483,Snake Lounge,0,296.1156053,300.5340115
484,Snake Lounge,0,291.5513339,314.2957544
485,Snake Lounge,0,626.279517,634.3327105
486,Snake Lounge,0,475.4577527,498.7337526
487,Snake Lounge,0,472.4514911,475.4110123
488,Snake Lounge,0,278.1608719,282.800763
489,Snake Lounge,0,431.661799,444.1642299
490,Snake Lounge,0,596.367796,617.4685085
491,Snake Lounge,0,485.2510815,505.4010765
492,Snake Lounge,0,494.7296021,504.3329046
493,Snake Lounge,0,421.1907792,426.442337
494,Snake Lounge,0,693.636471,715.4837788
495,Snake Lounge,0,419.7654649,433.8052409
496,Snake Lounge,0,613.4189687,634.436875
497,Snake Lounge,0,646.7899408,681.5146158
498,Snake Lounge,0,333.6023145,350.003908
499,Snake Lounge,0,450.1888275,479.043412
500,Snake Lounge,0,510.3167471,513.6993247
501,Snake Lounge,0,1066.371108,1080.796582
502,Snake Lounge,0,649.2162302,661.7258761
503,Snake Lounge,0,511.63156,511.3899389
504,Snake Lounge,0,532.4014329,552.0373432
505,Snake Lounge,0,473.9769683,477.100761
506,Snake Lounge,0,482.2813505,502.2219926
507,Snake Lounge,0,357.6186791,364.6831563
508,Snake Lounge,0,366.9566156,376.4538792
509,Snake Lounge,0,328.8780367,340.0948685
510,Snake Lounge,0,637.4311556,637.7991092
511,Snake Lounge,0,599.2457698,624.7107389
512,Snake Lounge,0,450.0582721,460.0097706
513,Snake Lounge,0,342.6533903,366.5906057
514,Snake Lounge,0,498.8103002,511.9839981
515,Snake Lounge,0,848.285554,861.5592134
516,Snake Lounge,0,818.1969756,821.800389
517,Snake Lounge,0,174.0299495,194.5487233
518,Snake Lounge,0,458.4640016,474.0237145
519,Snake Lounge,0,741.9920738,752.3613308
520,Snake Lounge,0,506.2633855,529.1362913
521,Snake Lounge,0,751.6119863,770.3835937
522,Snake Lounge,0,461.962191,477.5906278
523,Snake Lounge,0,722.7478886,737.9351787
524,Snake Lounge,0,545.6361859,571.9807403
525,Snake Lounge,0,996.3604243,1010.277073
526,Snake Lounge,0,650.067885,685.3100704
527,Snake Lounge,0,331.0191396,350.6527124
528,Snake Lounge,0,421.4178246,434.2308101
529,Snake Lounge,0,487.5352927,513.671242
530,Snake Lounge,0,226.849903,227.3136189
531,Snake Lounge,0,241.3385083,268.7369241
532,Snake Lounge,0,343.726609,338.7877551
533,Snake Lounge,0,459.810559,484.4060743
534,Snake Lounge,0,697.8353223,725.7711264
535,Snake Lounge,0,390.8703653,389.1222046
536,Snake Lounge,0,536.3571073,547.9282941
537,Snake Lounge,0,502.3089635,507.0272475
538,Snake Lounge,0,406.2144354,421.4485156
539,Snake Lounge,0,716.3295903,724.0553017
540,Snake Lounge,0,347.5230218,357.4868845
541,Snake Lounge,0,547.7349722,553.5495005
542,Snake Lounge,0,459.8257879,484.8764673
543,Snake Lounge,0,591.8192929,614.9579071
544,Snake Lounge,0,753.0851843,773.2289824
545,Snake Lounge,0,589.0721789,606.092266
546,Snake Lounge,0,719.3559741,737.9704803
547,Snake Lounge,0,546.4645573,558.3478157
548,Snake Lounge,0,418.3123183,456.4604869
549,Snake Lounge,0,524.2315701,540.260289
550,Snake Lounge,0,718.4118667,739.6939148
551,Snake Lounge,0,277.8101321,299.9923673
552,Snake Lounge,0,560.7155991,583.8254846
553,Snake Lounge,0,408.4814525,436.6548429
554,Snake Lounge,0,643.6675791,656.0362187
555,Snake Lounge,0,624.5249863,620.7982927
556,Snake Lounge,0,557.1580106,594.4881984
557,Snake Lounge,0,735.9216676,747.5599067
558,Snake Lounge,0,283.17593,295.592993
559,Snake Lounge,0,568.6076338,598.9061013
560,Snake Lounge,0,275.0701958,294.8437138
561,Snake Lounge,0,600.1574386,603.0347296
562,Snake Lounge,0,525.4463444,543.1249668
563,Snake Lounge,0,657.0892485,656.8340415
564,Snake Lounge,0,523.8218529,536.5482134
565,Snake Lounge,0,196.6950245,189.9712343
566,Snake Lounge,0,210.8265224,230.464717
567,Snake Lounge,0,593.1460286,592.1666727
568,Snake Lounge,0,500.9935103,503.9003395
569,Snake Lounge,0,426.347241,422.5690888
570,Snake Lounge,0,465.339731,486.9320791
571,Snake Lounge,0,331.2877399,334.3943675
572,Snake Lounge,0,488.3989322,487.6979556
573,Snake Lounge,0,372.3042394,362.0428277
574,Snake Lounge,0,214.5485781,242.6219012
575,Snake Lounge,0,479.0600294,489.7978886
576,Snake Lounge,0,668.7913804,672.4787345
577,Snake Lounge,0,863.5994349,871.3151436
578,Snake Lounge,0,512.3909294,509.9230969
579,Snake Lounge,0,499.8995098,529.4686163
580,Snake Lounge,0,656.4473422,666.5695708
581,Snake Lounge,0,720.0356525,729.2627336
582,Snake Lounge,0,446.7652387,469.3329457
583,Snake Lounge,0,171.4054117,196.2144407
584,Snake Lounge,0,322.44566,344.7799933
585,Snake Lounge,0,572.9462768,579.3549368
586,Snake Lounge,0,293.0519048,292.3810591
